geoid,ansi_code,county of social_data_combined_cleaned,state_name,state_abbrev,population_per_square_mile,median_income_dollars,mean_income_dollars,percent_bachelors_or_higher,county_state of social_data_combined_cleaned,county_type,total_crime,violent_crime,murder_and_nonnegligent_manslaughter,forcible_rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson
1123,161587,tallapoosa , alabama,AL,58.08064244,39423,56213,17.1,tallapoosa_alabama,Nonmetropolitan,250,17,1,2,1,13,233,109,112,12,0
1125,161588,tuscaloosa , alabama,AL,147.2708634,43538,59033,26,tuscaloosa_alabama,Metropolitan,1753,228,2,8,21,197,1525,427,970,128,5
1127,161589,walker , alabama,AL,84.71142276,37161,51787,10,walker_alabama,,0,,,,,,,,,,
1129,161590,washington , alabama,AL,16.27558422,40286,51337,10.1,washington_alabama,Nonmetropolitan,203,26,1,0,0,25,177,44,114,19,2
1131,161591,wilcox , alabama,AL,13.13452591,23750,36605,12,wilcox_alabama,,0,,,,,,,,,,
1133,161592,winston , alabama,AL,39.94264078,32557,45115,11.5,winston_alabama,Nonmetropolitan,198,13,0,0,0,13,185,76,100,9,0
2013,1419964,aleutians east borough, alaska,AK,0.44987477,57083,67263,17.8,aleutians east borough_alaska,,0,,,,,,,,,,
2016,1419965,aleutians west census area, alaska,AK,1.266662962,75179,82729,11.1,aleutians west census area_alaska,,0,,,,,,,,,,
2020,1416061,anchorage municipality, alaska,AK,171.1907727,75485,94073,32.3,anchorage municipality_alaska,,0,,,,,,,,,,
2050,1419966,bethel census area, alaska,AK,0.419349232,52063,69727,12.5,bethel census area_alaska,,0,,,,,,,,,,
2060,1419967,bristol bay borough, alaska,AK,1.978791012,80000,91508,19.6,bristol bay borough_alaska,,0,,,,,,,,,,
2068,1419988,denali borough, alaska,AK,0.143199839,82898,83741,24.2,denali borough_alaska,,0,,,,,,,,,,
2070,1419968,dillingham census area, alaska,AK,0.261029563,57681,74417,19.2,dillingham census area_alaska,,0,,,,,,,,,,
2090,1419969,fairbanks north star borough, alaska,AK,13.29765887,68922,81952,27.7,fairbanks north star borough_alaska,,0,,,,,,,,,,
2100,1419970,haines borough, alaska,AK,1.081687225,51667,66432,31.6,haines borough_alaska,,0,,,,,,,,,,
2105,2371430,hoonah-angoon census area, alaska,AK,0.285717513,49545,61984,27.9,hoonah-angoon census area_alaska,,0,,,,,,,,,,
2110,1419971,juneau city and borough, alaska,AK,11.57505503,77465,93994,36.4,juneau city and borough_alaska,,0,,,,,,,,,,
2122,1419972,kenai peninsula borough, alaska,AK,3.446274294,59256,73367,23.1,kenai peninsula borough_alaska,,0,,,,,,,,,,
2130,1419973,ketchikan gateway borough, alaska,AK,2.773950511,57243,71835,24.6,ketchikan gateway borough_alaska,,0,,,,,,,,,,
2150,1419974,kodiak island borough, alaska,AK,2.07524789,66326,75206,24.5,kodiak island borough_alaska,,0,,,,,,,,,,
2164,1419975,lake and peninsula borough, alaska,AK,0.068958201,51429,59655,19.8,lake and peninsula borough_alaska,,0,,,,,,,,,,
2170,1419976,matanuska-susitna borough, alaska,AK,3.616521818,70343,81319,20.9,matanuska-susitna borough_alaska,,0,,,,,,,,,,
2180,1419977,nome census area, alaska,AK,0.413382928,52435,67008,15.7,nome census area_alaska,,0,,,,,,,,,,
2185,1419978,north slope borough, alaska,AK,0.106318914,76667,85856,17.6,north slope borough_alaska,,0,,,,,,,,,,
2188,1419979,northwest arctic borough, alaska,AK,0.21148309,59893,69215,12.2,northwest arctic borough_alaska,,0,,,,,,,,,,
2195,2516404,petersburg census area, alaska,AK,1.16240735,64216,74481,24.2,petersburg census area_alaska,,0,,,,,,,,,,
2198,1419980,prince of wales-hyder census area, alaska,AK,1.41707366,45513,60413,16.1,prince of wales-hyder census area_alaska,,0,,,,,,,,,,
2220,1419981,sitka city and borough, alaska,AK,3.094059622,69798,79736,34.7,sitka city and borough_alaska,,0,,,,,,,,,,
2230,2339479,skagway municipality, alaska,AK,2.140054165,73000,88057,28.8,skagway municipality_alaska,,0,,,,,,,,,,
2240,1419983,southeast fairbanks census area, alaska,AK,0.283784347,59917,70878,20.8,southeast fairbanks census area_alaska,,0,,,,,,,,,,
2261,1419984,valdez-cordova census area, alaska,AK,0.28142622,62238,77849,24.5,valdez-cordova census area_alaska,,0,,,,,,,,,,
2270,1419985,wade hampton census area, alaska,AK,0.436672965,39583,48736,6.9,wade hampton census area_alaska,,0,,,,,,,,,,
2275,2418874,wrangell city and borough, alaska,AK,0.932132932,50000,71537,19.3,wrangell city and borough_alaska,,0,,,,,,,,,,
2282,1419986,yakutat city and borough, alaska,AK,0.086542091,74844,85346,25.8,yakutat city and borough_alaska,,0,,,,,,,,,,
2290,1419987,yukon-koyukuk census area, alaska,AK,0.038404234,35335,48366,10.1,yukon-koyukuk census area_alaska,,0,,,,,,,,,,
4001,25441,apache , arizona,AZ,6.386949397,31011,41584,10.1,apache_arizona,Nonmetropolitan,221,45,1,0,1,43,176,95,74,7,20
4003,25442,cochise , arizona,AZ,21.30272524,45906,59099,21.9,cochise_arizona,Nonmetropolitan,1164,367,3,15,12,337,797,334,400,63,16
4005,25443,coconino , arizona,AZ,7.219605256,49615,63513,31.5,coconino_arizona,Metropolitan,672,141,5,10,7,119,531,181,335,15,28
4007,40471,gila , arizona,AZ,11.2647656,37905,48895,15.5,gila_arizona,Nonmetropolitan,381,34,1,1,3,29,347,55,261,31,3
4009,25444,graham , arizona,AZ,8.051750996,43083,51163,14.4,graham_arizona,Nonmetropolitan,226,-1,0,0,1,-1,227,62,152,13,10
4011,42807,greenlee , arizona,AZ,4.577549229,49390,52073,11.9,greenlee_arizona,,0,,,,,,,,,,
4012,43540,la paz , arizona,AZ,4.553486521,32220,42936,9.3,la paz_arizona,Nonmetropolitan,431,41,0,2,0,39,390,113,253,24,0
4013,37026,maricopa , arizona,AZ,414.8975728,55099,74071,29.1,maricopa_arizona,Metropolitan,5839,884,6,45,72,761,4955,1371,3143,441,102
4015,25445,mohave , arizona,AZ,15.03904566,40573,51957,12.2,mohave_arizona,Metropolitan,2289,145,6,11,15,113,2144,762,1245,137,11
4017,42808,navajo , arizona,AZ,10.79843649,38975,50506,14.3,navajo_arizona,Nonmetropolitan,669,59,2,1,2,54,610,383,181,46,7
4019,25446,pima , arizona,AZ,106.7006813,46341,62891,29.5,pima_arizona,Metropolitan,12318,607,16,62,163,366,11711,2857,8007,847,96
4021,25447,pinal , arizona,AZ,70.03301767,51212,60945,18.1,pinal_arizona,Metropolitan,4016,227,5,47,22,153,3789,710,2654,425,17
4023,40472,santa cruz , arizona,AZ,38.33728402,38092,55472,18,santa cruz_arizona,Nonmetropolitan,283,7,1,2,2,2,276,103,131,42,9
4025,42809,yavapai , arizona,AZ,25.97809146,44084,59676,24.2,yavapai_arizona,Metropolitan,1632,312,9,13,5,285,1320,465,764,91,12
4027,23901,yuma , arizona,AZ,35.50077693,41441,52458,13.9,yuma_arizona,,0,,,,,,,,,,
5001,63755,arkansas , arkansas,AR,19.23500915,38986,51988,13,arkansas_arkansas,Nonmetropolitan,103,5,0,0,0,5,98,32,57,9,0
5003,63756,ashley , arkansas,AR,23.61595463,35657,46711,12.5,ashley_arkansas,Nonmetropolitan,240,22,1,1,3,17,218,88,116,14,2
5005,69895,baxter , arkansas,AR,74.89495438,35589,48225,14.9,baxter_arkansas,Nonmetropolitan,683,30,2,3,0,25,653,114,502,37,0
5007,69896,benton , arkansas,AR,261.2110362,52159,69311,27.6,benton_arkansas,Metropolitan,617,158,1,21,1,135,459,227,216,16,2
5009,69897,boone , arkansas,AR,62.52297829,37703,51949,14.2,boone_arkansas,Nonmetropolitan,387,21,1,8,0,12,366,114,205,47,5
5011,63757,bradley , arkansas,AR,17.72558612,32337,45772,11.4,bradley_arkansas,,0,,,,,,,,,,
5013,63758,calhoun , arkansas,AR,8.539869961,30625,39311,6.7,calhoun_arkansas,,0,,,,,,,,,,
5015,66975,carroll , arkansas,AR,43.55906407,36031,48745,17.1,carroll_arkansas,Nonmetropolitan,237,29,0,0,0,29,208,53,145,10,4
5017,69160,chicot , arkansas,AR,18.31433609,23954,40051,13.2,chicot_arkansas,Nonmetropolitan,39,0,0,0,0,0,39,14,25,0,0
5019,66845,clark , arkansas,AR,26.550849,32998,48255,22.3,clark_arkansas,Nonmetropolitan,154,12,0,1,1,10,142,44,88,10,1
5021,63759,clay , arkansas,AR,25.15071192,31135,42247,9.3,clay_arkansas,Nonmetropolitan,84,8,0,2,0,6,76,26,48,2,0
5023,66983,cleburne , arkansas,AR,46.90333254,38510,50548,16.3,cleburne_arkansas,Nonmetropolitan,536,41,1,6,0,34,495,253,195,47,5
5025,63760,cleveland , arkansas,AR,14.53537488,34292,48662,14,cleveland_arkansas,Metropolitan,118,5,0,0,0,5,113,68,37,8,0
5027,63761,columbia , arkansas,AR,32.05000176,36163,50456,20.5,columbia_arkansas,Nonmetropolitan,253,41,0,0,2,39,212,55,139,18,0
5029,66846,conway , arkansas,AR,38.52059756,31890,48317,14,conway_arkansas,Nonmetropolitan,347,25,1,1,3,20,322,74,229,19,5
5031,66847,craighead , arkansas,AR,136.3718634,40221,57343,23.7,craighead_arkansas,Metropolitan,308,12,1,0,3,8,296,120,163,13,2
5033,69161,crawford , arkansas,AR,104.4488732,40409,49093,13.2,crawford_arkansas,Metropolitan,473,139,1,18,1,119,334,67,237,30,1
5035,69162,crittenden , arkansas,AR,83.47874574,35264,49387,13.5,crittenden_arkansas,Metropolitan,635,181,1,7,15,158,454,130,286,38,7
5037,66848,cross , arkansas,AR,28.99180864,38432,46817,12,cross_arkansas,Nonmetropolitan,55,27,0,4,0,23,28,19,6,3,2
5039,66849,dallas , arkansas,AR,12.16087841,30011,41289,12.7,dallas_arkansas,Nonmetropolitan,27,1,0,0,0,1,26,7,19,0,1
5041,66850,desha , arkansas,AR,16.93414845,30786,45709,13.4,desha_arkansas,,0,,,,,,,,,,
5043,66851,drew , arkansas,AR,22.34425778,32038,44414,19.8,drew_arkansas,Nonmetropolitan,152,30,0,6,1,23,122,38,69,15,2
5045,66852,faulkner , arkansas,AR,174.7797445,47649,60997,25.9,faulkner_arkansas,Metropolitan,967,46,0,8,0,38,921,291,554,76,6
5047,66853,franklin , arkansas,AR,29.76889483,34819,48674,12.4,franklin_arkansas,Metropolitan,230,39,0,4,0,35,191,69,109,13,4
5049,66854,fulton , arkansas,AR,19.80769791,33281,43263,11.5,fulton_arkansas,Nonmetropolitan,169,16,0,0,0,16,153,67,79,7,6
5051,66855,garland , arkansas,AR,141.6740806,38210,53158,20.6,garland_arkansas,,0,,,,,,,,,,
5053,66856,grant , arkansas,AR,28.2569574,50927,59606,15.1,grant_arkansas,,0,,,,,,,,,,
5055,66857,greene , arkansas,AR,72.85801083,39090,48315,12.1,greene_arkansas,Nonmetropolitan,287,21,0,2,0,19,266,96,154,16,0
5057,66858,hempstead , arkansas,AR,31.07680888,34885,45130,14.5,hempstead_arkansas,Nonmetropolitan,237,42,0,4,0,38,195,47,126,22,6
5059,66859,hot spring , arkansas,AR,53.5157558,38188,47542,12.3,hot spring_arkansas,,0,,,,,,,,,,
5061,66872,howard , arkansas,AR,23.42860638,37146,49248,12.7,howard_arkansas,Nonmetropolitan,99,14,0,4,0,10,85,36,46,3,0
5063,69163,independence , arkansas,AR,47.97022854,34878,48926,13.2,independence_arkansas,Nonmetropolitan,1682,136,0,10,12,114,1546,691,758,97,14
5065,66860,izard , arkansas,AR,23.5903248,31865,41768,12.7,izard_arkansas,Nonmetropolitan,188,2,0,1,0,1,186,69,117,0,1
5067,66861,jackson , arkansas,AR,28.38921156,31352,41948,8,jackson_arkansas,Nonmetropolitan,187,23,0,0,2,21,164,49,102,13,2
5069,66862,jefferson , arkansas,AR,88.92949264,37682,50027,16.9,jefferson_arkansas,Metropolitan,600,69,2,5,7,55,531,238,200,93,5
5071,66863,johnson , arkansas,AR,38.70846494,31400,46650,16,johnson_arkansas,Nonmetropolitan,246,21,0,1,0,20,225,189,36,0,8
5073,66864,lafayette , arkansas,AR,14.47182112,30152,44703,12.8,lafayette_arkansas,Nonmetropolitan,75,4,0,0,0,4,71,17,54,0,0
5075,66865,lawrence , arkansas,AR,29.63680239,32337,38506,9.4,lawrence_arkansas,Nonmetropolitan,137,8,0,1,0,7,129,38,91,0,3
5077,66866,lee , arkansas,AR,17.2977709,25270,33199,6.5,lee_arkansas,Nonmetropolitan,73,7,2,0,0,5,66,18,44,4,0
5079,66873,lincoln , arkansas,AR,25.17109901,31480,47487,9,lincoln_arkansas,Metropolitan,102,3,1,0,1,1,99,52,43,4,3
5081,66874,little river , arkansas,AR,24.74575061,38564,48511,12.5,little river_arkansas,Nonmetropolitan,78,6,0,0,0,6,72,22,47,3,4
5083,82850,logan , arkansas,AR,31.56646072,38447,49800,11.2,logan_arkansas,Nonmetropolitan,331,20,0,9,2,9,311,120,164,27,1
5085,69164,lonoke , arkansas,AR,88.69017345,51096,60400,17.3,lonoke_arkansas,Metropolitan,903,116,3,9,3,101,787,308,403,76,7
5087,69165,madison , arkansas,AR,18.83956344,35579,47310,12.2,madison_arkansas,Metropolitan,143,21,0,5,0,16,122,49,56,17,0
5089,69898,marion , arkansas,AR,27.89405185,34063,44740,14.5,marion_arkansas,Nonmetropolitan,254,35,0,2,1,32,219,85,132,2,6
5091,69166,miller , arkansas,AR,69.47494957,40200,50281,12.9,miller_arkansas,Metropolitan,293,14,0,4,1,9,279,84,158,37,3
5093,69899,mississippi , arkansas,AR,51.61152776,34267,47918,12.6,mississippi_arkansas,Nonmetropolitan,378,35,0,6,2,27,343,81,226,36,2
5095,69167,monroe , arkansas,AR,13.42234345,28306,40020,13.7,monroe_arkansas,Nonmetropolitan,52,1,0,0,0,1,51,7,44,0,0
5097,69168,montgomery , arkansas,AR,12.164692,34934,50267,11.3,montgomery_arkansas,Nonmetropolitan,23,4,0,0,0,4,19,7,12,0,0
5099,69169,nevada , arkansas,AR,14.56209324,38006,49298,10.3,nevada_arkansas,Nonmetropolitan,51,6,0,0,0,6,45,19,24,2,1
5101,69900,newton , arkansas,AR,10.14744864,29702,39500,12.6,newton_arkansas,Nonmetropolitan,89,10,0,2,0,8,79,25,51,3,1
5103,69170,ouachita , arkansas,AR,35.64493172,33008,44183,13.2,ouachita_arkansas,Nonmetropolitan,24,2,0,0,0,2,22,13,9,0,1
5105,69171,perry , arkansas,AR,18.94262262,42514,50903,11.5,perry_arkansas,,0,,,,,,,,,,
5107,69172,phillips , arkansas,AR,31.27520078,28225,41154,12.2,phillips_arkansas,,0,,,,,,,,,,
5109,69173,pike , arkansas,AR,18.79897039,32457,44875,11.3,pike_arkansas,Nonmetropolitan,37,7,1,3,0,3,30,13,13,4,1
5111,69174,poinsett , arkansas,AR,32.4147634,31939,41857,9.4,poinsett_arkansas,Metropolitan,56,21,0,5,0,16,35,14,16,5,3
5113,69175,polk , arkansas,AR,24.090598,32395,44723,10.6,polk_arkansas,Nonmetropolitan,243,39,0,3,0,36,204,87,103,14,14
5115,69901,pope , arkansas,AR,76.00043321,40325,52254,20.4,pope_arkansas,Nonmetropolitan,520,60,0,10,2,48,460,165,256,39,2
5117,69176,prairie , arkansas,AR,13.44994583,36194,43346,9.9,prairie_arkansas,Nonmetropolitan,50,0,0,0,0,0,50,10,38,2,0
5119,69177,pulaski , arkansas,AR,503.7728871,45897,65615,31.3,pulaski_arkansas,Metropolitan,2653,409,6,25,31,347,2244,896,1144,204,13
5121,69178,randolph , arkansas,AR,27.55174481,33072,46251,11.5,randolph_arkansas,,0,,,,,,,,,,
5123,83331,st. francis , arkansas,AR,44.51684151,26360,38041,10.2,st. francis_arkansas,Nonmetropolitan,402,23,1,3,5,14,379,105,274,0,2
5125,67102,saline , arkansas,AR,148.0340076,52982,64491,22.9,saline_arkansas,,0,,,,,,,,,,
5127,69179,scott , arkansas,AR,12.58853326,38910,46671,11.1,scott_arkansas,Nonmetropolitan,74,8,0,4,0,4,66,20,43,3,2
5129,69180,searcy , arkansas,AR,12.30304987,29384,34843,8.5,searcy_arkansas,Nonmetropolitan,38,10,0,0,0,10,28,16,10,2,0
5131,69181,sebastian , arkansas,AR,236.4004505,40680,58619,19,sebastian_arkansas,Metropolitan,439,83,0,11,3,69,356,183,151,22,3
5133,69182,sevier , arkansas,AR,30.18441905,35289,43150,9.2,sevier_arkansas,Nonmetropolitan,187,19,1,0,2,16,168,45,101,22,2
5135,69183,sharp , arkansas,AR,28.56202197,29590,37254,12.8,sharp_arkansas,,0,,,,,,,,,,
5137,69902,stone , arkansas,AR,20.43848583,31364,39064,11.8,stone_arkansas,Nonmetropolitan,137,18,0,4,0,14,119,56,61,2,3
5139,69903,union , arkansas,AR,40.067782,37794,51393,16.5,union_arkansas,Nonmetropolitan,470,34,0,0,11,23,436,127,268,41,0
5141,69904,van buren , arkansas,AR,24.4230332,32906,42978,12.7,van buren_arkansas,Nonmetropolitan,265,46,0,2,0,44,219,51,140,28,5
5143,69905,washington , arkansas,AR,215.5757214,41474,59173,27.6,washington_arkansas,Metropolitan,695,148,2,12,4,130,547,199,305,43,7
5145,69906,white , arkansas,AR,74.46416926,41618,54497,18.4,white_arkansas,Nonmetropolitan,963,56,3,10,4,39,907,373,438,96,3
5147,69907,woodruff , arkansas,AR,12.3723779,27047,42648,9.6,woodruff_arkansas,,0,,,,,,,,,,
5149,69908,yell , arkansas,AR,23.85524912,37477,46340,10.5,yell_arkansas,Nonmetropolitan,182,18,0,4,2,12,164,70,82,12,2
6001,1675839,alameda , california,CA,2043.621459,70821,94035,40.8,alameda_california,Metropolitan,2917,725,3,26,218,478,2192,650,991,551,19
6003,1675840,alpine , california,CA,1.591424996,59018,81595,32,alpine_california,Nonmetropolitan,112,7,0,0,0,7,105,20,84,1,0
6005,1675841,amador , california,CA,64.0633856,56180,73405,18.8,amador_california,Nonmetropolitan,652,54,1,5,4,44,598,187,401,10,4
6007,1675842,butte , california,CA,134.436199,42971,57911,24,butte_california,Metropolitan,1416,106,2,13,23,68,1310,560,744,6,3
6009,1675885,calaveras , california,CA,44.68378803,55256,68942,20.7,calaveras_california,Nonmetropolitan,1076,102,1,14,8,79,974,314,655,5,0
6011,1675902,colusa , california,CA,18.61338575,49558,62210,13,colusa_california,Nonmetropolitan,309,28,1,2,1,24,281,91,186,4,2
6013,1675903,contra costa , california,CA,1465.247641,79135,104712,38.4,contra costa_california,Metropolitan,2931,456,13,30,109,304,2475,1033,1423,19,18
6015,1682074,del norte , california,CA,28.42882311,37588,51726,14.3,del norte_california,Nonmetropolitan,526,99,2,18,7,72,427,242,180,5,6
6017,277273,el dorado , california,CA,106.0131168,68815,88422,30.8,el dorado_california,Metropolitan,2465,192,2,21,21,148,2273,1020,1241,12,10
6019,277274,fresno , california,CA,156.1684131,46903,64189,19.5,fresno_california,Metropolitan,5521,740,6,23,125,586,4781,1618,2331,832,-1
6021,277275,glenn , california,CA,21.40268976,43239,59375,15.5,glenn_california,Nonmetropolitan,180,11,2,0,2,7,169,61,105,3,2
