geoid,ansi_code,county of social_data_combined_cleaned,state_name,state_abbrev,population_2010,population_per_square_mile,median_income_dollars,mean_income_dollars,percent_bachelors_or_higher,county_state of social_data_combined_cleaned,county_type,total_crime,crime_per_capita
1067,161559,henry,alabama,AL,17302,30.80017802,39948,49068,14.8,henry_alabama,Metropolitan,159,0.009189689
1069,161560,houston,alabama,AL,101547,175.1341786,41766,57537,18.8,houston_alabama,Metropolitan,689,0.006785036
1071,161561,jackson,alabama,AL,53227,49.38174248,36383,47438,13.5,jackson_alabama,Nonmetropolitan,699,0.013132433
1073,161562,jefferson,alabama,AL,658466,592.5314683,45750,66409,29,jefferson_alabama,Metropolitan,4694,0.00712869
1075,161563,lamar,alabama,AL,14564,24.07885644,34711,49427,9.4,lamar_alabama,Nonmetropolitan,6,0.000411975
1077,161564,lauderdale,alabama,AL,92709,138.848909,39702,53161,21.6,lauderdale_alabama,Metropolitan,153,0.001650325
1079,161565,lawrence,alabama,AL,34339,49.71781351,40009,49098,12.3,lawrence_alabama,Metropolitan,551,0.016045895
1081,161566,lee,alabama,AL,140247,230.8455795,42320,56979,31.2,lee_alabama,Metropolitan,124,0.000884154
1083,161567,limestone,alabama,AL,82782,147.8418962,47199,62843,21.1,limestone_alabama,Metropolitan,226,0.002730062
1085,161568,lowndes,alabama,AL,11299,15.78268807,27905,46229,13.7,lowndes_alabama,Metropolitan,314,0.02779007
1087,161569,macon,alabama,AL,21452,35.23161188,29355,42088,21.1,macon_alabama,Nonmetropolitan,1,4.66E-05
1089,161570,madison,alabama,AL,334811,417.6820406,57453,76342,37.4,madison_alabama,NA,-1,-0.001
1091,161572,marengo,alabama,AL,21027,21.52460584,35165,47426,17.8,marengo_alabama,Nonmetropolitan,203,0.009654254
1093,161573,marion,alabama,AL,30776,41.46077285,31799,43452,8.5,marion_alabama,Nonmetropolitan,275,0.008935534
1095,161574,marshall,alabama,AL,93019,164.3904129,38563,53044,15.2,marshall_alabama,Nonmetropolitan,872,0.009374429
1097,161575,mobile,alabama,AL,412992,335.9201584,42187,56992,20.1,mobile_alabama,Metropolitan,2758,0.006678095
1099,161576,monroe,alabama,AL,23068,22.490555,29849,42652,10.4,monroe_alabama,Nonmetropolitan,133,0.005765563
1101,161577,montgomery,alabama,AL,229363,292.4627063,44587,62645,31.2,montgomery_alabama,Metropolitan,693,0.003021411
1103,161578,morgan,alabama,AL,119490,206.2530099,45564,59417,19,morgan_alabama,Metropolitan,562,0.004703322
1105,161579,perry,alabama,AL,10591,14.71658996,27222,38353,12.6,perry_alabama,NA,-1,-0.001
1107,161580,pickens,alabama,AL,19746,22.4027919,29096,39644,10.3,pickens_alabama,Nonmetropolitan,21,0.001063507
1109,161581,pike,alabama,AL,32899,48.94999807,31179,46449,23.4,pike_alabama,Nonmetropolitan,37,0.001124654
1111,161582,randolph,alabama,AL,22913,39.4677461,35823,51041,12.2,randolph_alabama,Nonmetropolitan,363,0.015842535
1113,161583,russell,alabama,AL,52947,82.58258727,33754,44152,12.6,russell_alabama,Metropolitan,560,0.010576614
1115,164997,st. clair,alabama,AL,83593,132.2879181,49200,60603,14.6,st. clair_alabama,Metropolitan,711,0.008505497
1117,161584,shelby,alabama,AL,195085,248.5380862,68883,88876,40,shelby_alabama,Metropolitan,1427,0.00731476
1119,161585,sumter,alabama,AL,13763,15.22646083,21964,33896,13.6,sumter_alabama,Nonmetropolitan,34,0.002470392
1121,161586,talladega,alabama,AL,82291,111.6908147,36609,47232,12.3,talladega_alabama,Nonmetropolitan,1013,0.012309973
1123,161587,tallapoosa,alabama,AL,41616,58.08064244,39423,56213,17.1,tallapoosa_alabama,Nonmetropolitan,250,0.006007305
1125,161588,tuscaloosa,alabama,AL,194656,147.2708634,43538,59033,26,tuscaloosa_alabama,Metropolitan,1753,0.00900563
1127,161589,walker,alabama,AL,67023,84.71142276,37161,51787,10,walker_alabama,NA,-1,-0.001
1129,161590,washington,alabama,AL,17581,16.27558422,40286,51337,10.1,washington_alabama,Nonmetropolitan,203,0.011546556
1131,161591,wilcox,alabama,AL,11670,13.13452591,23750,36605,12,wilcox_alabama,NA,-1,-0.001
1133,161592,winston,alabama,AL,24484,39.94264078,32557,45115,11.5,winston_alabama,Nonmetropolitan,198,0.008086914
2013,1419964,aleutians east,alaska,AK,3141,0.44987477,57083,67263,17.8,aleutians east borough_alaska,NA,-1,-0.001
2016,1419965,aleutians west,alaska,AK,5561,1.266662962,75179,82729,11.1,aleutians west census area_alaska,NA,-1,-0.001
2020,1416061,anchorage,alaska,AK,291826,171.1907727,75485,94073,32.3,anchorage municipality_alaska,NA,-1,-0.001
2050,1419966,bethel,alaska,AK,17013,0.419349232,52063,69727,12.5,bethel census area_alaska,NA,-1,-0.001
2060,1419967,bristol bay,alaska,AK,997,1.978791012,80000,91508,19.6,bristol bay borough_alaska,NA,-1,-0.001
2068,1419988,denali,alaska,AK,1826,0.143199839,82898,83741,24.2,denali borough_alaska,NA,-1,-0.001
2070,1419968,dillingham,alaska,AK,4847,0.261029563,57681,74417,19.2,dillingham census area_alaska,NA,-1,-0.001
2090,1419969,fairbanks north star,alaska,AK,97581,13.29765887,68922,81952,27.7,fairbanks north star borough_alaska,NA,-1,-0.001
2100,1419970,haines,alaska,AK,2508,1.081687225,51667,66432,31.6,haines borough_alaska,NA,-1,-0.001
2105,2371430,hoonah-angoon,alaska,AK,2150,0.285717513,49545,61984,27.9,hoonah-angoon census area_alaska,NA,-1,-0.001
2110,1419971,juneau city,alaska,AK,31275,11.57505503,77465,93994,36.4,juneau city and borough_alaska,NA,-1,-0.001
2122,1419972,kenai peninsula,alaska,AK,55400,3.446274294,59256,73367,23.1,kenai peninsula borough_alaska,NA,-1,-0.001
2130,1419973,ketchikan gateway,alaska,AK,13477,2.773950511,57243,71835,24.6,ketchikan gateway borough_alaska,NA,-1,-0.001
2150,1419974,kodiak island,alaska,AK,13592,2.07524789,66326,75206,24.5,kodiak island borough_alaska,NA,-1,-0.001
2164,1419975,lake and peninsula,alaska,AK,1631,0.068958201,51429,59655,19.8,lake and peninsula borough_alaska,NA,-1,-0.001
2170,1419976,matanuska-susitna,alaska,AK,88995,3.616521818,70343,81319,20.9,matanuska-susitna borough_alaska,NA,-1,-0.001
2180,1419977,nome,alaska,AK,9492,0.413382928,52435,67008,15.7,nome census area_alaska,NA,-1,-0.001
2185,1419978,north slope,alaska,AK,9430,0.106318914,76667,85856,17.6,north slope borough_alaska,NA,-1,-0.001
2188,1419979,northwest arctic,alaska,AK,7523,0.21148309,59893,69215,12.2,northwest arctic borough_alaska,NA,-1,-0.001
2195,2516404,petersburg,alaska,AK,3815,1.16240735,64216,74481,24.2,petersburg census area_alaska,NA,-1,-0.001
2198,1419980,prince of wales-hyder,alaska,AK,5559,1.41707366,45513,60413,16.1,prince of wales-hyder census area_alaska,NA,-1,-0.001
2220,1419981,sitka city,alaska,AK,8881,3.094059622,69798,79736,34.7,sitka city and borough_alaska,NA,-1,-0.001
